window,n_components,n_regimes,regime,count,fraction,explained_variance_sum
2020-01-01_2020-12-31,10,6,2,362,0.24726775956284153,0.7261462211608887
2020-01-01_2020-12-31,10,6,3,184,0.12568306010928962,0.7261462211608887
2020-01-01_2020-12-31,10,6,4,181,0.12363387978142076,0.7261462211608887
2020-01-01_2020-12-31,10,6,5,235,0.16051912568306012,0.7261462211608887
2020-01-01_2020-12-31,12,3,0,521,0.3558743169398907,0.7516115307807922
2020-01-01_2020-12-31,12,3,1,610,0.4166666666666667,0.7516115307807922
2020-01-01_2020-12-31,12,3,2,333,0.22745901639344263,0.7516115307807922
2020-01-01_2020-12-31,12,4,0,372,0.2540983606557377,0.7516115307807922
2020-01-01_2020-12-31,12,4,1,367,0.2506830601092896,0.7516115307807922
2020-01-01_2020-12-31,12,4,2,418,0.2855191256830601,0.7516115307807922
2020-01-01_2020-12-31,12,4,3,307,0.20969945355191258,0.7516115307807922
2020-01-01_2020-12-31,12,5,0,230,0.15710382513661203,0.7516115307807922
2020-01-01_2020-12-31,12,5,1,307,0.20969945355191258,0.7516115307807922
2020-01-01_2020-12-31,12,5,2,374,0.25546448087431695,0.7516115307807922
2020-01-01_2020-12-31,12,5,3,365,0.24931693989071038,0.7516115307807922
2020-01-01_2020-12-31,12,5,4,188,0.1284153005464481,0.7516115307807922
2020-01-01_2020-12-31,12,6,0,182,0.12431693989071038,0.7516115307807922
2020-01-01_2020-12-31,12,6,1,195,0.13319672131147542,0.7516115307807922
2020-01-01_2020-12-31,12,6,2,363,0.24795081967213115,0.7516115307807922
2020-01-01_2020-12-31,12,6,3,177,0.12090163934426229,0.7516115307807922
2020-01-01_2020-12-31,12,6,4,240,0.16393442622950818,0.7516115307807922
2020-01-01_2020-12-31,12,6,5,307,0.20969945355191258,0.7516115307807922
