window,variable,model,lead,regime,metric,n,mean,ci_lo,ci_hi,median,std
2022-06-01_2022-08-31,t850,HRES,7 days,3,MAE,71,1.737976031371054,1.6940201973657874,1.7779134264505554,1.7291708004231197,0.10872380078646017
2022-06-01_2022-08-31,t850,HRES,1 days,0,BIAS,40,-0.04813272766187378,-0.05670938008337229,-0.041574211063701606,-0.04739219078224576,0.01979295100304755
2022-06-01_2022-08-31,t850,HRES,1 days,1,BIAS,40,-0.013883208556206039,-0.020482917898302817,-0.00841312083496115,-0.01333585329241906,0.018578815911443964
2022-06-01_2022-08-31,t850,HRES,1 days,2,BIAS,31,-0.051157886644476215,-0.06496089884006874,-0.04239445207100901,-0.05304275127733915,0.0209015565053089
2022-06-01_2022-08-31,t850,HRES,1 days,3,BIAS,71,-0.05214697536453574,-0.06965476529715812,-0.03331955865309383,-0.052007290271242325,0.04257160346554574
2022-06-01_2022-08-31,t850,HRES,3 days,0,BIAS,40,-0.015869136810645494,-0.025688903505084872,-0.003870090253645307,-0.02017494147716198,0.028470662590377553
2022-06-01_2022-08-31,t850,HRES,3 days,1,BIAS,40,0.03846667829592053,0.02528294895694692,0.048661042175706645,0.040964157729787315,0.0285471094820958
2022-06-01_2022-08-31,t850,HRES,3 days,2,BIAS,27,-0.008584717034081583,-0.026877436839688445,0.008572548417306371,-0.0022365708607908264,0.03272557338672207
2022-06-01_2022-08-31,t850,HRES,3 days,3,BIAS,71,-0.01792489174850296,-0.04459728365467207,0.008859309122714815,-0.027361698929376465,0.05850066235017299
2022-06-01_2022-08-31,t850,HRES,5 days,0,BIAS,40,-0.0007436894514340417,-0.01577763641093888,0.013374864685326147,-0.0052776727648487206,0.0405012080175224
2022-06-01_2022-08-31,t850,HRES,5 days,1,BIAS,40,0.06092694453222709,0.022767590753937535,0.08872533315400277,0.06155372800939006,0.05792865011745421
2022-06-01_2022-08-31,t850,HRES,5 days,2,BIAS,23,0.030833072933789833,0.005121681852614815,0.07052918297667399,0.024342400081123684,0.05041819207699645
2022-06-01_2022-08-31,t850,HRES,5 days,3,BIAS,71,-0.008663286787095612,-0.03888059101098566,0.019086686914415788,-0.011480877349098228,0.06810945608913489
2022-06-01_2022-08-31,t850,HRES,7 days,0,BIAS,40,-0.010935931835272944,-0.021017351908624873,0.003073392438126816,-0.009463854322071011,0.04143791942676283
2022-06-01_2022-08-31,t850,HRES,7 days,1,BIAS,40,0.07824663138407713,0.023758102947774952,0.11672740093840461,0.11204200480282725,0.09304347464557591
2022-06-01_2022-08-31,t850,HRES,7 days,2,BIAS,19,0.054156181548218975,-0.00674349983833838,0.14367094093104232,0.02191816120435027,0.09457225239133366
2022-06-01_2022-08-31,t850,HRES,7 days,3,BIAS,71,0.0034524874363611796,-0.034450591777333235,0.03810420215007178,-0.005032855619867791,0.08799748317510225
2022-06-01_2022-08-31,u850,HRES,1 days,0,RMSE,40,1.3273729502520595,1.3151691636508622,1.338817526864438,1.3281886891346908,0.027133120735466264
2022-06-01_2022-08-31,u850,HRES,1 days,1,RMSE,40,1.335973356103625,1.3228382873061482,1.3514756465452804,1.3293814878833223,0.0289964822359023
2022-06-01_2022-08-31,u850,HRES,1 days,2,RMSE,31,1.3368888282683724,1.3187524043058871,1.3542345460497742,1.3366758717361933,0.03630807134814496
2022-06-01_2022-08-31,u850,HRES,1 days,3,RMSE,71,1.331294745979695,1.3179392972027584,1.3469622099734413,1.3332071436159192,0.036163510344010615
2022-06-01_2022-08-31,u850,HRES,3 days,0,RMSE,40,2.357386878934061,2.2767406110213275,2.4195859099744284,2.325847724462437,0.13646177601803336
2022-06-01_2022-08-31,u850,HRES,3 days,1,RMSE,40,2.363241957776367,2.3052683191939702,2.4206983134219753,2.3548932420472948,0.11557871282813827
2022-06-01_2022-08-31,u850,HRES,3 days,2,RMSE,27,2.3408509954148173,2.2611430503229437,2.427742831847697,2.3168884867971378,0.12918672495977976
2022-06-01_2022-08-31,u850,HRES,3 days,3,RMSE,71,2.339435945589408,2.3027559581689068,2.37527323852725,2.339166098111983,0.09059267571493622
2022-06-01_2022-08-31,u850,HRES,5 days,0,RMSE,40,3.6930224983297677,3.603193003259241,3.8025183855782028,3.6622345202873614,0.2126399719888661
2022-06-01_2022-08-31,u850,HRES,5 days,1,RMSE,40,3.6998072941208293,3.6046909533475118,3.828861543977036,3.714601676732844,0.23985339994091773
2022-06-01_2022-08-31,u850,HRES,5 days,2,RMSE,23,3.6183671718718413,3.485188293831326,3.736916828525422,3.64450358660965,0.2164499244228648
2022-06-01_2022-08-31,u850,HRES,5 days,3,RMSE,71,3.6332670532697064,3.5396993337511535,3.7151796385949054,3.64785446708383,0.2311034348757426
