window,variable,model,lead,regime,metric,n,mean,ci_lo,ci_hi,median,std,lead_h,tag,bucket,season,start,end
2018-03-01_2018-05-31,z500,HRES,7 days,0,BIAS,22,-25.747516705341344,-31.990440661299075,-16.610747972285264,-29.04118826378157,10.469253965177368,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,7 days,1,BIAS,58,-13.21772875717972,-15.32273285228863,-10.39349176107555,-11.7278431425525,7.595852345677127,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,7 days,2,BIAS,60,-30.104429854405947,-35.23890513801507,-24.893730143211062,-27.97128618001261,11.41534097704159,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,z500,HRES,7 days,3,BIAS,30,-20.348757756192324,-24.465785931173716,-17.452640980789973,-20.146208278759957,6.333562666891982,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,1 days,0,RMSE,22,0.7019802706191801,0.6905382121343311,0.7114945606103318,0.7045027307272518,0.0170134089692087,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,1 days,1,RMSE,58,0.7336030988517211,0.7216636690027542,0.7460282832975892,0.7278942264879533,0.0281960947907181,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,1 days,2,RMSE,60,0.7069785962233848,0.6979699280417396,0.7178884207064457,0.7017451122200097,0.02606613634788,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,1 days,3,RMSE,42,0.6959574668023952,0.6902077952004239,0.7008165290062727,0.6927984186384444,0.0155253177574503,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,3 days,0,RMSE,22,1.1969330307821413,1.181445757218236,1.215096967883008,1.1922207514037146,0.0410954984821146,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,3 days,1,RMSE,58,1.2422600821817265,1.2263307682874711,1.2609288588815015,1.238444448441686,0.0478055909878183,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,3 days,2,RMSE,60,1.1889156290488951,1.1645638662805482,1.2116732088178233,1.185388332073082,0.0595455924816531,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,3 days,3,RMSE,38,1.163504523946097,1.1484619879530926,1.1795771101801802,1.164233432230405,0.0396785495218078,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,5 days,0,RMSE,22,1.9215821502405683,1.885120395030871,1.9852334613710003,1.8913557199853064,0.0933753115217544,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,5 days,1,RMSE,58,1.9860494326369484,1.9549264857148403,2.0220438958743605,1.9770224326354715,0.1085641964918165,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,5 days,2,RMSE,60,1.914099955601964,1.8586174404621447,1.975432153790568,1.8950008922733872,0.1389670105544135,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,5 days,3,RMSE,34,1.8959687218993528,1.846863799685704,1.9380980512818893,1.9086735894746936,0.1028011839862737,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,7 days,0,RMSE,22,2.879889907528842,2.813030948811458,2.9021070220985865,2.891285033389304,0.1564586784513526,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,7 days,1,RMSE,58,2.818344914471306,2.7446478102511462,2.8991940952825788,2.771535744223378,0.235391188873716,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,7 days,2,RMSE,60,2.7888257058446126,2.699665824713446,2.864062860657467,2.760434761169158,0.2212177475036976,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,7 days,3,RMSE,30,2.876249405048201,2.804628372232814,2.960697056985596,2.8981412338344854,0.1732246585235442,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,1 days,0,ACC,22,0.984908808448076,0.9842685545956836,0.9854268738497136,0.9849934495578172,0.0009467469503264,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,1 days,1,ACC,58,0.9858249453454848,0.9845165915645964,0.9875194738274092,0.9855337838689354,0.002838261057784,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,1 days,2,ACC,60,0.979313699410963,0.97766793210062,0.980738497403416,0.9792189609858724,0.0031725595037461,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,1 days,3,ACC,42,0.9882908839798268,0.9875174071761624,0.988866540272143,0.988663797806236,0.0013854530068771,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,3 days,0,ACC,22,0.9567236034558836,0.9543578423582708,0.958657892109656,0.9566756872271648,0.0036630166367237,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,3 days,1,ACC,58,0.958267144926191,0.954278378422716,0.9631691454205942,0.9596825189685568,0.0088067089155879,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,3 days,2,ACC,60,0.9412432806884998,0.9377184596470184,0.9441828214644168,0.9403842556492592,0.0076528565848074,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,3 days,3,ACC,38,0.9675041819970694,0.9646466440028614,0.969558663349018,0.9676320850190452,0.0044544710151052,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,5 days,0,ACC,22,0.8897406957285057,0.8801572212007385,0.8957056778370641,0.8913773951202704,0.0131057758856231,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,5 days,1,ACC,58,0.8903725923075071,0.878888772804473,0.9033804216138694,0.8904051854567696,0.0258040822771739,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,5 days,2,ACC,60,0.846063226317078,0.8341974249845605,0.8568763105989653,0.8449961071742347,0.0268133495589631,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,5 days,3,ACC,34,0.9142515986099228,0.9060962343505108,0.9202810298976491,0.9144565275921032,0.014119544276332,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,7 days,0,ACC,22,0.7571860657738736,0.7446041525110277,0.7698361398527729,0.7495152730159071,0.0286498867760404,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,7 days,1,ACC,58,0.7707443574748986,0.7372281827522238,0.8038797031662753,0.7885999647775466,0.071950679054956,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,7 days,2,ACC,60,0.6714203432630714,0.646963606736091,0.6932420083310135,0.6675552161552597,0.0600824901196575,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,7 days,3,ACC,30,0.8065054494534548,0.7895365878593911,0.8178718139269645,0.8105601304018695,0.0269773568283799,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,1 days,0,MAE,22,0.4921052535884365,0.4850739553007036,0.49912128407396,0.4903414930814239,0.0111028129682238,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,1 days,1,MAE,58,0.5117102125314567,0.5055372696403825,0.518238105194948,0.5119504503494225,0.0150523400109592,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
