window,n_components,n_regimes,regime,count,fraction,explained_variance_sum
2021-01-01_2021-12-31,10,6,2,259,0.1773972602739726,0.6799741983413696
2021-01-01_2021-12-31,10,6,3,171,0.11712328767123288,0.6799741983413696
2021-01-01_2021-12-31,10,6,4,174,0.11917808219178082,0.6799741983413696
2021-01-01_2021-12-31,10,6,5,206,0.1410958904109589,0.6799741983413696
2021-01-01_2021-12-31,12,3,0,558,0.3821917808219178,0.7093232870101929
2021-01-01_2021-12-31,12,3,1,353,0.24178082191780823,0.7093232870101929
2021-01-01_2021-12-31,12,3,2,549,0.37602739726027395,0.7093232870101929
2021-01-01_2021-12-31,12,4,0,305,0.2089041095890411,0.7093232870101929
2021-01-01_2021-12-31,12,4,1,546,0.37397260273972605,0.7093232870101929
2021-01-01_2021-12-31,12,4,2,319,0.2184931506849315,0.7093232870101929
2021-01-01_2021-12-31,12,4,3,290,0.19863013698630136,0.7093232870101929
2021-01-01_2021-12-31,12,5,0,172,0.1178082191780822,0.7093232870101929
2021-01-01_2021-12-31,12,5,1,289,0.19794520547945205,0.7093232870101929
2021-01-01_2021-12-31,12,5,2,403,0.276027397260274,0.7093232870101929
2021-01-01_2021-12-31,12,5,3,277,0.18972602739726027,0.7093232870101929
2021-01-01_2021-12-31,12,5,4,319,0.2184931506849315,0.7093232870101929
2021-01-01_2021-12-31,12,6,0,256,0.17534246575342466,0.7093232870101929
2021-01-01_2021-12-31,12,6,1,246,0.1684931506849315,0.7093232870101929
2021-01-01_2021-12-31,12,6,2,177,0.12123287671232877,0.7093232870101929
2021-01-01_2021-12-31,12,6,3,303,0.20753424657534247,0.7093232870101929
2021-01-01_2021-12-31,12,6,4,243,0.16643835616438357,0.7093232870101929
2021-01-01_2021-12-31,12,6,5,235,0.16095890410958905,0.7093232870101929
