window,n_components,n_regimes,regime,count,fraction,explained_variance_sum
2022-01-01_2022-12-31,10,6,1,337,0.23082191780821917,0.699389636516571
2022-01-01_2022-12-31,10,6,2,203,0.13904109589041097,0.699389636516571
2022-01-01_2022-12-31,10,6,3,225,0.1541095890410959,0.699389636516571
2022-01-01_2022-12-31,10,6,4,344,0.2356164383561644,0.699389636516571
2022-01-01_2022-12-31,10,6,5,225,0.1541095890410959,0.699389636516571
2022-01-01_2022-12-31,12,3,0,377,0.2582191780821918,0.7254031896591187
2022-01-01_2022-12-31,12,3,1,518,0.3547945205479452,0.7254031896591187
2022-01-01_2022-12-31,12,3,2,565,0.386986301369863,0.7254031896591187
2022-01-01_2022-12-31,12,4,0,267,0.18287671232876712,0.7254031896591187
2022-01-01_2022-12-31,12,4,1,482,0.33013698630136984,0.7254031896591187
2022-01-01_2022-12-31,12,4,2,348,0.23835616438356164,0.7254031896591187
2022-01-01_2022-12-31,12,4,3,363,0.24863013698630138,0.7254031896591187
2022-01-01_2022-12-31,12,5,0,268,0.18356164383561643,0.7254031896591187
2022-01-01_2022-12-31,12,5,1,348,0.23835616438356164,0.7254031896591187
2022-01-01_2022-12-31,12,5,2,373,0.2554794520547945,0.7254031896591187
2022-01-01_2022-12-31,12,5,3,346,0.236986301369863,0.7254031896591187
2022-01-01_2022-12-31,12,5,4,125,0.08561643835616438,0.7254031896591187
2022-01-01_2022-12-31,12,6,0,203,0.13904109589041097,0.7254031896591187
2022-01-01_2022-12-31,12,6,1,121,0.08287671232876713,0.7254031896591187
2022-01-01_2022-12-31,12,6,2,342,0.23424657534246576,0.7254031896591187
2022-01-01_2022-12-31,12,6,3,349,0.23904109589041095,0.7254031896591187
2022-01-01_2022-12-31,12,6,4,224,0.15342465753424658,0.7254031896591187
2022-01-01_2022-12-31,12,6,5,221,0.15136986301369862,0.7254031896591187
