window,variable,model,lead,wavenumber,spectral_retention,spectral_rmse
2022-01-01_2022-12-31,z500,HRES,1 days,94.5,1.0743847222781888,847.7320949340776
2022-01-01_2022-12-31,z500,HRES,1 days,95.5,1.0753772285177545,834.0813939038147
2022-01-01_2022-12-31,z500,HRES,1 days,96.5,1.0804834897412776,820.6854985480444
2022-01-01_2022-12-31,z500,HRES,1 days,97.5,1.0885548651865153,802.0990321886549
2022-01-01_2022-12-31,z500,HRES,1 days,98.5,1.0989258038280996,793.6596972563303
2022-01-01_2022-12-31,z500,HRES,1 days,99.5,1.0861293272230113,772.2649669234288
2022-01-01_2022-12-31,z500,HRES,1 days,100.5,1.1007645446263177,766.6713390639621
2022-01-01_2022-12-31,z500,HRES,1 days,101.5,1.102393870585687,750.7873653992307
2022-01-01_2022-12-31,z500,HRES,1 days,102.5,1.1022137191011574,736.2387713333036
2022-01-01_2022-12-31,z500,HRES,1 days,103.5,1.1087767493528837,735.630730666051
2022-01-01_2022-12-31,z500,HRES,1 days,104.5,1.114107272935482,717.9303139449969
2022-01-01_2022-12-31,z500,HRES,1 days,105.5,1.1286439525608225,708.4020182537066
2022-01-01_2022-12-31,z500,HRES,1 days,106.5,1.13440752430666,696.6777389973228
2022-01-01_2022-12-31,z500,HRES,1 days,107.5,1.134707931599623,689.4525334721923
2022-01-01_2022-12-31,z500,HRES,1 days,108.5,1.130573277028358,685.5986023907107
2022-01-01_2022-12-31,z500,HRES,1 days,109.5,1.1263653833187706,672.9876797048261
2022-01-01_2022-12-31,z500,HRES,1 days,110.5,1.1435075425331322,660.3902040982924
2022-01-01_2022-12-31,z500,HRES,1 days,111.5,1.145944800984033,658.1536791771036
2022-01-01_2022-12-31,z500,HRES,1 days,112.5,1.1433663043396458,653.3416894745933
2022-01-01_2022-12-31,z500,HRES,1 days,113.5,1.1460146072277875,650.0000439744488
2022-01-01_2022-12-31,z500,HRES,1 days,114.5,1.1521172087174063,638.5537193300777
2022-01-01_2022-12-31,z500,HRES,1 days,115.5,1.160928575222997,636.0240887962565
2022-01-01_2022-12-31,z500,HRES,1 days,116.5,1.182954502785363,633.1192969983596
2022-01-01_2022-12-31,z500,HRES,1 days,117.5,1.1699871230596366,630.3395631337837
2022-01-01_2022-12-31,z500,HRES,1 days,118.5,1.1637841863594516,625.6955030555814
2022-01-01_2022-12-31,z500,HRES,1 days,119.5,1.1682538541452983,621.7844779680696
2022-01-01_2022-12-31,z500,HRES,1 days,120.5,1.166959943516299,624.2365579036477
2022-01-01_2022-12-31,z500,HRES,1 days,121.5,1.192340548945499,574.0520889247355
2022-01-01_2022-12-31,z500,HRES,1 days,122.5,1.2205476570235967,548.194940149744
