window,variable,model,lead,regime,metric,n,mean,ci_lo,ci_hi,median,std
2020-01-01_2020-03-31,z500,NeuralGCM,5 days,0,BIAS,40,-1.8226693968406917,-4.786668022844143,2.547275326098293,-3.1501855705798993,6.277751108686569
2020-01-01_2020-03-31,z500,NeuralGCM,5 days,1,BIAS,22,-3.1533491798933198,-4.64270948556485,-1.444933524751895,-3.1367926713914445,3.2968372864872846
2020-01-01_2020-03-31,z500,NeuralGCM,5 days,2,BIAS,56,-10.568470887156597,-14.259662758006602,-7.399296568808601,-8.869067447439814,7.71956031539799
2020-01-01_2020-03-31,z500,NeuralGCM,5 days,3,BIAS,54,-3.9600076232426638,-6.108060528332642,-1.69649472742227,-4.719974937526855,4.502298921921316
2020-01-01_2020-03-31,z500,NeuralGCM,7 days,0,BIAS,40,1.9139192271443264,-3.6640647273921876,9.023249526899415,2.72661613548038,10.640516941100953
2020-01-01_2020-03-31,z500,NeuralGCM,7 days,1,BIAS,22,-3.0384523699957127,-5.9657345609758705,1.1613530223870796,-4.193037438177049,5.63496537184049
2020-01-01_2020-03-31,z500,NeuralGCM,7 days,2,BIAS,52,-9.94232043745989,-13.774625525543117,-5.991889499715492,-8.615267150321525,9.416538152663797
2020-01-01_2020-03-31,z500,NeuralGCM,7 days,3,BIAS,54,-3.619493521083018,-6.282269946975949,-0.8507447760408108,-3.2952654569946143,6.998889979343936
2020-01-01_2020-03-31,t850,HRES,1 days,0,RMSE,40,0.7111782957732552,0.6987973264445999,0.7214208826810599,0.7067491805247426,0.0242806054921123
2020-01-01_2020-03-31,t850,HRES,1 days,1,RMSE,22,0.7272693714239774,0.7124483592013433,0.7380978178757179,0.7256038779129983,0.022678843596222704
2020-01-01_2020-03-31,t850,HRES,1 days,2,RMSE,64,0.7433771569485526,0.7319191299776399,0.7546519220366952,0.7427739317994715,0.032224525154540384
2020-01-01_2020-03-31,t850,HRES,1 days,3,RMSE,54,0.7163026501177244,0.7070631144221702,0.7239628240944183,0.7142741467696819,0.021510177089818023
2020-01-01_2020-03-31,t850,HRES,3 days,0,RMSE,40,1.1194380649298468,1.095194811748592,1.1456440653181799,1.12529131685174,0.04714126924568821
2020-01-01_2020-03-31,t850,HRES,3 days,1,RMSE,22,1.1347532557424374,1.0860692683833106,1.1679758489602274,1.150420180093156,0.05954287747683246
2020-01-01_2020-03-31,t850,HRES,3 days,2,RMSE,60,1.159427006973758,1.1317663041986439,1.179459720359494,1.1660864394662078,0.055641319854335375
2020-01-01_2020-03-31,t850,HRES,3 days,3,RMSE,54,1.1730188593493862,1.1564195785099414,1.192111843273832,1.1693210619491188,0.05197786923466168
2020-01-01_2020-03-31,t850,HRES,5 days,0,RMSE,40,1.7675556358644737,1.6919943775913782,1.8463610715836387,1.7834805374196652,0.13674103338451807
2020-01-01_2020-03-31,t850,HRES,5 days,1,RMSE,22,1.7480231063158522,1.6547764464119243,1.8082581929184114,1.7670312672510393,0.11052105518785485
2020-01-01_2020-03-31,t850,HRES,5 days,2,RMSE,56,1.7825312942145044,1.724622364707833,1.8287104929879492,1.7898662123431237,0.11559911560313303
2020-01-01_2020-03-31,t850,HRES,5 days,3,RMSE,54,1.9061811779647115,1.8428539089143443,1.9716477784002546,1.917346475106437,0.15425561013514844
2020-01-01_2020-03-31,t850,HRES,7 days,0,RMSE,40,2.605422919946148,2.467332679971675,2.760047379027117,2.5352529114900513,0.28522082807227905
2020-01-01_2020-03-31,t850,HRES,7 days,1,RMSE,22,2.495141335774642,2.3789128248460396,2.587680766755295,2.5265631244648183,0.16576821008315049
2020-01-01_2020-03-31,t850,HRES,7 days,2,RMSE,52,2.623141471061258,2.536014508116043,2.716017644201872,2.6531609035899857,0.20278234380583737
2020-01-01_2020-03-31,t850,HRES,7 days,3,RMSE,54,2.782931447905966,2.692018600452567,2.8708999671828073,2.8156568405585443,0.24919238735036472
2020-01-01_2020-03-31,t850,GraphCast,1 days,0,RMSE,40,0.4981823549425911,0.49145198161909265,0.5036066262713751,0.4995367772443057,0.013394519920606439
2020-01-01_2020-03-31,t850,GraphCast,1 days,1,RMSE,22,0.5073664119149787,0.492013737458004,0.5197239256574168,0.5055961141695665,0.019648056431536342
2020-01-01_2020-03-31,t850,GraphCast,1 days,2,RMSE,64,0.5217800362869967,0.51457948871085,0.5286921832100375,0.5195588971826236,0.01776618919573824
2020-01-01_2020-03-31,t850,GraphCast,1 days,3,RMSE,54,0.5082565177400181,0.5034015618347878,0.5124408468591992,0.5085352112914325,0.012216412281004051
2020-01-01_2020-03-31,t850,GraphCast,3 days,0,RMSE,40,0.9161456981240341,0.896314401791087,0.9394928357282831,0.9143702734123096,0.04365081495611992
2020-01-01_2020-03-31,t850,GraphCast,3 days,1,RMSE,22,0.9076347036340947,0.8783378125239691,0.9289136369670148,0.9113499795328168,0.03476979935428905
2020-01-01_2020-03-31,t850,GraphCast,3 days,2,RMSE,60,0.9446266103758654,0.9274962130727628,0.9600751632728307,0.9459846059611257,0.04052702517341723
2020-01-01_2020-03-31,t850,GraphCast,3 days,3,RMSE,54,0.9545945970585464,0.9419755448733991,0.9692441791889729,0.950998508729876,0.037740997465915874
2020-01-01_2020-03-31,t850,GraphCast,5 days,0,RMSE,40,1.5308096931168684,1.4663540129938055,1.6037257718213749,1.535240221292355,0.13201435336875247
2020-01-01_2020-03-31,t850,GraphCast,5 days,1,RMSE,22,1.4940698674664643,1.42589587023101,1.562461268001761,1.4711033837450649,0.09547675449527215
2020-01-01_2020-03-31,t850,GraphCast,5 days,2,RMSE,56,1.5394202486953492,1.4781327742080141,1.5975156664068235,1.5278920934371203,0.13290994281639895
2020-01-01_2020-03-31,t850,GraphCast,5 days,3,RMSE,54,1.6366712559529286,1.585133216983556,1.6860445791046488,1.6237110943732955,0.1362579952690906
2020-01-01_2020-03-31,t850,GraphCast,7 days,0,RMSE,40,2.312067974472168,2.2212081653740836,2.4220490066495484,2.3054797421896884,0.21453663928232916
2020-01-01_2020-03-31,t850,GraphCast,7 days,1,RMSE,22,2.1816735787724184,2.069370039094192,2.3263352148463663,2.1278756420620653,0.19972435954368545
2020-01-01_2020-03-31,t850,GraphCast,7 days,2,RMSE,52,2.3399023786464825,2.2034627002644944,2.4825323670463275,2.2803289015630277,0.2917600618815578
2020-01-01_2020-03-31,t850,GraphCast,7 days,3,RMSE,54,2.5183976397158907,2.4220667266034677,2.6027106463275564,2.551664395214571,0.21148829685893367
2020-01-01_2020-03-31,t850,NeuralGCM,1 days,0,RMSE,40,0.5250830334970672,0.5190813461336851,0.530689943419191,0.5257657997698608,0.013906043011910658
2020-01-01_2020-03-31,t850,NeuralGCM,1 days,1,RMSE,22,0.5342066276970782,0.5199462094024725,0.5453370043194731,0.5340636384436764,0.020496392236443735
2020-01-01_2020-03-31,t850,NeuralGCM,1 days,2,RMSE,64,0.5513870354644292,0.5452406619950737,0.5579393683607854,0.5508486480993273,0.017653581820485018
2020-01-01_2020-03-31,t850,NeuralGCM,1 days,3,RMSE,54,0.5374562534775001,0.5327177498942577,0.5415004705249802,0.5360004466459334,0.013059622581541145
2020-01-01_2020-03-31,t850,NeuralGCM,3 days,0,RMSE,40,0.930613550991333,0.9119390515377626,0.9496193821430472,0.9288528287519624,0.041688512974373905
2020-01-01_2020-03-31,t850,NeuralGCM,3 days,1,RMSE,22,0.9219488312077672,0.910640074394175,0.9350241955486673,0.9198965070025722,0.02720518752503512
2020-01-01_2020-03-31,t850,NeuralGCM,3 days,2,RMSE,60,0.9619286894053091,0.9397327010254757,0.9793816440123788,0.9686836776544054,0.04420170802275186
2020-01-01_2020-03-31,t850,NeuralGCM,3 days,3,RMSE,54,0.9735898595121214,0.9606483253943467,0.9877948911719335,0.9789149379475814,0.038781694283444496
2020-01-01_2020-03-31,t850,NeuralGCM,5 days,0,RMSE,40,1.5192268456023754,1.4603113954699307,1.583980842496612,1.518658282181581,0.12185577669570748
2020-01-01_2020-03-31,t850,NeuralGCM,5 days,1,RMSE,22,1.4905297691041333,1.40897195685181,1.563083446591859,1.4810266847025253,0.10268241975771088
2020-01-01_2020-03-31,t850,NeuralGCM,5 days,2,RMSE,56,1.5558883764247755,1.501231820408942,1.5983748556597643,1.5292723619433757,0.12244893152849545
2020-01-01_2020-03-31,t850,NeuralGCM,5 days,3,RMSE,54,1.6466251604357904,1.6112009476067708,1.685670357373854,1.6341988778764338,0.1093757531126727
2020-01-01_2020-03-31,t850,NeuralGCM,7 days,0,RMSE,40,2.297962467368507,2.2030738122636215,2.4269021666692936,2.2483096858009994,0.2485474173940721
2020-01-01_2020-03-31,t850,NeuralGCM,7 days,1,RMSE,22,2.2145279190950062,2.1008701543973065,2.3502566958629565,2.1488185043100634,0.20007230453579913
2020-01-01_2020-03-31,t850,NeuralGCM,7 days,2,RMSE,52,2.3185670263267832,2.221121578690165,2.4189741140535976,2.3045379853558097,0.24408268161910351
2020-01-01_2020-03-31,t850,NeuralGCM,7 days,3,RMSE,54,2.5238665493880563,2.4477360856074597,2.5944176972966346,2.552090461623491,0.22041167103275594
2020-01-01_2020-03-31,t850,HRES,1 days,0,ACC,40,0.9786566445030047,0.9769043126924966,0.9804121923940013,0.9784795300858322,0.0032138998763010743
2020-01-01_2020-03-31,t850,HRES,1 days,1,ACC,22,0.9797635073506696,0.9788978648269788,0.9809041927068212,0.9796480893814058,0.001688820376344298
2020-01-01_2020-03-31,t850,HRES,1 days,2,ACC,64,0.9778509298595539,0.9767932067555322,0.9787422834614222,0.9780526405644151,0.0024586227986729482
2020-01-01_2020-03-31,t850,HRES,1 days,3,ACC,54,0.9829122845429559,0.9816416793727141,0.9847921697676357,0.982732580856967,0.003032786070128855
