window,variable,model,lead,wavenumber,spectral_retention,spectral_rmse
2020-01-01_2020-03-31,z500,HRES,3 days,47.5,0.9860003830921769,6344.7222535600185
2020-01-01_2020-03-31,z500,HRES,3 days,48.5,0.9824221347056727,5974.783043240817
2020-01-01_2020-03-31,z500,HRES,3 days,49.5,0.9842341473160493,5791.476353083377
2020-01-01_2020-03-31,z500,HRES,3 days,50.5,0.9843669820851089,5509.875323294999
2020-01-01_2020-03-31,z500,HRES,3 days,51.5,0.9828439603593776,5281.234205320268
2020-01-01_2020-03-31,z500,HRES,3 days,52.5,0.9820916092910694,5192.752690477547
2020-01-01_2020-03-31,z500,HRES,3 days,53.5,0.9833669013678669,4919.7688391188385
2020-01-01_2020-03-31,z500,HRES,3 days,54.5,0.983856098126194,4812.71060631012
2020-01-01_2020-03-31,z500,HRES,3 days,55.5,0.9819132388897021,4494.06802892288
2020-01-01_2020-03-31,z500,HRES,3 days,56.5,0.9812415676367053,4468.2407365082745
2020-01-01_2020-03-31,z500,HRES,3 days,57.5,0.9818823814861616,4321.657810664871
2020-01-01_2020-03-31,z500,HRES,3 days,58.5,0.9810026431944734,4158.170154036274
2020-01-01_2020-03-31,z500,HRES,3 days,59.5,0.9796900960406576,4086.6262537022835
2020-01-01_2020-03-31,z500,HRES,3 days,60.5,0.981998707607487,3959.4339408253686
2020-01-01_2020-03-31,z500,HRES,3 days,61.5,1.0329484332176342,2790.415838809623
2020-01-01_2020-03-31,z500,HRES,3 days,62.5,1.0337220652941153,2684.693767608562
2020-01-01_2020-03-31,z500,HRES,3 days,63.5,1.0233919858569054,2572.2713367378337
2020-01-01_2020-03-31,z500,HRES,3 days,64.5,1.0421348902519523,2508.0114276358377
2020-01-01_2020-03-31,z500,HRES,3 days,65.5,1.0429618839926256,2411.92548825465
2020-01-01_2020-03-31,z500,HRES,3 days,66.5,1.0240142582161356,2359.9340175000207
2020-01-01_2020-03-31,z500,HRES,3 days,67.5,1.0193455254132655,2261.899475463165
2020-01-01_2020-03-31,z500,HRES,3 days,68.5,1.029875078213939,2204.255217163003
2020-01-01_2020-03-31,z500,HRES,3 days,69.5,1.0446396769000967,2151.7131651373124
2020-01-01_2020-03-31,z500,HRES,3 days,70.5,1.0424461052033893,2056.071171311405
2020-01-01_2020-03-31,z500,HRES,3 days,71.5,1.0468638872438552,2012.844459570803
2020-01-01_2020-03-31,z500,HRES,3 days,72.5,1.0315236423431582,1951.7246292783295
2020-01-01_2020-03-31,z500,HRES,3 days,73.5,1.0271260595113179,1912.7207803169324
2020-01-01_2020-03-31,z500,HRES,3 days,74.5,1.0450003852852927,1840.9683194165618
2020-01-01_2020-03-31,z500,HRES,3 days,75.5,1.0279003048773694,1780.3415290918654
2020-01-01_2020-03-31,z500,HRES,3 days,76.5,1.0338949310046608,1751.035484359685
2020-01-01_2020-03-31,z500,HRES,3 days,77.5,1.0524003216978677,1660.0943799210002
2020-01-01_2020-03-31,z500,HRES,3 days,78.5,1.0260374539979142,1644.897673145576
2020-01-01_2020-03-31,z500,HRES,3 days,79.5,1.0215016431731723,1582.7168597891693
2020-01-01_2020-03-31,z500,HRES,3 days,80.5,1.043117412663588,1557.9857382153189
2020-01-01_2020-03-31,z500,HRES,3 days,81.5,1.0509843917339554,1522.8784962040265
2020-01-01_2020-03-31,z500,HRES,3 days,82.5,1.0441213364468245,1456.5899469970204
2020-01-01_2020-03-31,z500,HRES,3 days,83.5,1.0535416069174237,1427.7223629693626
2020-01-01_2020-03-31,z500,HRES,3 days,84.5,1.0830468138326865,1372.0687472125614
2020-01-01_2020-03-31,z500,HRES,3 days,85.5,1.052372274477349,1359.8613331480187
2020-01-01_2020-03-31,z500,HRES,3 days,86.5,1.054824883848822,1315.5098971744244
2020-01-01_2020-03-31,z500,HRES,3 days,87.5,1.0800630868596772,1267.7382954528987
2020-01-01_2020-03-31,z500,HRES,3 days,88.5,1.0677346599162973,1267.5748962660246
2020-01-01_2020-03-31,z500,HRES,3 days,89.5,1.080117595385354,1225.598706664599
2020-01-01_2020-03-31,z500,HRES,3 days,90.5,1.0589731128129884,1188.5506410305973
2020-01-01_2020-03-31,z500,HRES,3 days,91.5,1.0624985170493388,1174.5744895446242
2020-01-01_2020-03-31,z500,HRES,3 days,92.5,1.0970307677636226,1136.485274076311
2020-01-01_2020-03-31,z500,HRES,3 days,93.5,1.099265794649377,1100.9219953842348
2020-01-01_2020-03-31,z500,HRES,3 days,94.5,1.0886207436034827,1085.05549208344
2020-01-01_2020-03-31,z500,HRES,3 days,95.5,1.1374948107066354,1065.1896311903818
2020-01-01_2020-03-31,z500,HRES,3 days,96.5,1.105483630521191,1036.8888855399575
2020-01-01_2020-03-31,z500,HRES,3 days,97.5,1.1256460457040414,1019.7923757975753
2020-01-01_2020-03-31,z500,HRES,3 days,98.5,1.1215753119608853,997.9731477322531
2020-01-01_2020-03-31,z500,HRES,3 days,99.5,1.1438412663149697,970.4801518460266
2020-01-01_2020-03-31,z500,HRES,3 days,100.5,1.123743791420891,955.9534176496142
2020-01-01_2020-03-31,z500,HRES,3 days,101.5,1.1467610656032166,935.7066303268804
2020-01-01_2020-03-31,z500,HRES,3 days,102.5,1.155393515195327,911.7970519300645
2020-01-01_2020-03-31,z500,HRES,3 days,103.5,1.1497384013048046,912.8559689266
2020-01-01_2020-03-31,z500,HRES,3 days,104.5,1.1573651402240082,881.2065780784415
2020-01-01_2020-03-31,z500,HRES,3 days,105.5,1.158944041841952,871.8641488258567
2020-01-01_2020-03-31,z500,HRES,3 days,106.5,1.153267998549041,861.0006124190455
2020-01-01_2020-03-31,z500,HRES,3 days,107.5,1.1677337921789865,837.950600701412
2020-01-01_2020-03-31,z500,HRES,3 days,108.5,1.152712597161538,830.4921620078986
2020-01-01_2020-03-31,z500,HRES,3 days,109.5,1.1597517831721769,822.7397039950912
2020-01-01_2020-03-31,z500,HRES,3 days,110.5,1.1765566965316894,806.4455774243503
2020-01-01_2020-03-31,z500,HRES,3 days,111.5,1.157241895037042,794.4494705687554
2020-01-01_2020-03-31,z500,HRES,3 days,112.5,1.2034304772233497,787.4235975645826
2020-01-01_2020-03-31,z500,HRES,3 days,113.5,1.1946973125546718,786.0490178151866
2020-01-01_2020-03-31,z500,HRES,3 days,114.5,1.209560647160807,765.536809619516
2020-01-01_2020-03-31,z500,HRES,3 days,115.5,1.1986331376992816,763.377699399885
2020-01-01_2020-03-31,z500,HRES,3 days,116.5,1.199501442727771,763.4406257704846
2020-01-01_2020-03-31,z500,HRES,3 days,117.5,1.194822415460746,753.8733268139301
2020-01-01_2020-03-31,z500,HRES,3 days,118.5,1.2162477428776244,752.0013744991561
2020-01-01_2020-03-31,z500,HRES,3 days,119.5,1.2100128161279884,740.2502808637722
2020-01-01_2020-03-31,z500,HRES,3 days,120.5,1.2507946719720882,741.7831979528697
2020-01-01_2020-03-31,z500,HRES,3 days,121.5,1.2389991009874872,684.1967970133127
2020-01-01_2020-03-31,z500,HRES,3 days,122.5,1.2988821859259319,641.101378032523
2020-01-01_2020-03-31,z500,HRES,3 days,123.5,1.3176760044971303,613.2853721238647
2020-01-01_2020-03-31,z500,HRES,3 days,124.5,1.300133794204692,599.7383021470322
2020-01-01_2020-03-31,z500,HRES,3 days,125.5,1.318663261765991,578.3291181773983
2020-01-01_2020-03-31,z500,HRES,3 days,126.5,1.3326412373583865,559.0663499063699
2020-01-01_2020-03-31,z500,HRES,3 days,127.5,1.319697249392419,538.4099450692074
2020-01-01_2020-03-31,z500,HRES,3 days,128.5,1.3453706987798613,528.6110392850404
2020-01-01_2020-03-31,z500,HRES,3 days,129.5,1.3944736933596655,519.4520577675975
2020-01-01_2020-03-31,z500,HRES,3 days,130.5,1.3557905820384077,508.832342067273
2020-01-01_2020-03-31,z500,HRES,3 days,131.5,1.3626955148020454,512.6294273665945
2020-01-01_2020-03-31,z500,HRES,3 days,132.5,1.4251580962286017,486.33523764037346
2020-01-01_2020-03-31,z500,HRES,3 days,133.5,1.5034029977278163,490.5508016436799
2020-01-01_2020-03-31,z500,HRES,3 days,134.5,1.5086879331720389,416.86465455072266
2020-01-01_2020-03-31,z500,HRES,5 days,0.5,1.2034717192128148,0.06837716196942925
2020-01-01_2020-03-31,z500,HRES,5 days,1.5,0.9727934104052888,936749.8981392904
2020-01-01_2020-03-31,z500,HRES,5 days,2.5,0.9557027269219234,722329.1493190025
2020-01-01_2020-03-31,z500,HRES,5 days,3.5,0.9461596621413433,740734.4203293339
2020-01-01_2020-03-31,z500,HRES,5 days,4.5,0.9778414254412822,681813.6403260423
2020-01-01_2020-03-31,z500,HRES,5 days,5.5,0.9839709328442765,599414.9845946338
2020-01-01_2020-03-31,z500,HRES,5 days,6.5,0.9966392901412594,541644.7568731733
2020-01-01_2020-03-31,z500,HRES,5 days,7.5,0.9633679290171422,453857.0926304894
2020-01-01_2020-03-31,z500,HRES,5 days,8.5,0.9719518041483307,379727.3852743257
2020-01-01_2020-03-31,z500,HRES,5 days,9.5,1.010400335432103,316377.59785774344
2020-01-01_2020-03-31,z500,HRES,5 days,10.5,1.0008104484839795,260712.34157877372
2020-01-01_2020-03-31,z500,HRES,5 days,11.5,0.9877648797558712,227876.2025556465
2020-01-01_2020-03-31,z500,HRES,5 days,12.5,1.0126564606988264,188245.45188133212
2020-01-01_2020-03-31,z500,HRES,5 days,13.5,1.025189125424323,159244.60958477657
2020-01-01_2020-03-31,z500,HRES,5 days,14.5,1.0198541970436474,138250.84862764183
2020-01-01_2020-03-31,z500,HRES,5 days,15.5,1.0056975527830456,120234.80443420577
2020-01-01_2020-03-31,z500,HRES,5 days,16.5,1.0070246220891108,105817.14639693366
2020-01-01_2020-03-31,z500,HRES,5 days,17.5,1.040154023873205,91557.18903066973
2020-01-01_2020-03-31,z500,HRES,5 days,18.5,1.0465082467043645,81550.68175596597
2020-01-01_2020-03-31,z500,HRES,5 days,19.5,1.0329809587683219,72600.1249626399
2020-01-01_2020-03-31,z500,HRES,5 days,20.5,1.0156798816220278,65100.53727458138
2020-01-01_2020-03-31,z500,HRES,5 days,21.5,1.0313792074473358,57924.86552406517
2020-01-01_2020-03-31,z500,HRES,5 days,22.5,1.0526135318096694,53115.55069142263
2020-01-01_2020-03-31,z500,HRES,5 days,23.5,1.0498646146676363,47844.01983761142
2020-01-01_2020-03-31,z500,HRES,5 days,24.5,1.067216632872099,42978.50353876461
2020-01-01_2020-03-31,z500,HRES,5 days,25.5,1.0894600968235282,38959.61348336005
2020-01-01_2020-03-31,z500,HRES,5 days,26.5,1.0825289192698362,35485.0380989362
2020-01-01_2020-03-31,z500,HRES,5 days,27.5,1.0886811953618385,32742.147160898105
2020-01-01_2020-03-31,z500,HRES,5 days,28.5,1.1044050549032103,30257.177087207667
2020-01-01_2020-03-31,z500,HRES,5 days,29.5,1.1091608184894937,27355.741745745854
2020-01-01_2020-03-31,z500,HRES,5 days,30.5,1.10873812712092,25520.750785371674
2020-01-01_2020-03-31,z500,HRES,5 days,31.5,1.096353008455587,23398.27211649359
