window,variable,model,lead,regime,metric,n,mean,ci_lo,ci_hi,median,std
2022-09-01_2022-11-30,t850,HRES,3 days,1,MAE,42,0.8147062175899903,0.8014263752649143,0.8253189387489207,0.8121291298292035,0.029227959560452182
2022-09-01_2022-11-30,t850,HRES,3 days,2,MAE,51,0.8376986884980643,0.8253961539641238,0.848611924650596,0.8411288179217185,0.026349239147390246
2022-09-01_2022-11-30,t850,HRES,3 days,3,MAE,35,0.8142748636385866,0.7948981662679933,0.8301770091745839,0.8140109168332674,0.028950034412604388
2022-09-01_2022-11-30,t850,HRES,5 days,0,MAE,48,1.188927138676083,1.1679847573925244,1.2138038647130833,1.1841986557604733,0.055808272483406966
2022-09-01_2022-11-30,t850,HRES,5 days,1,MAE,42,1.2127134262066812,1.1699306231530644,1.2575980948625427,1.1990405147418568,0.07812558561274081
2022-09-01_2022-11-30,t850,HRES,5 days,2,MAE,47,1.2663700869209367,1.2458555167676428,1.283538409422296,1.2758896697925148,0.053033329214352255
2022-09-01_2022-11-30,t850,HRES,5 days,3,MAE,35,1.2016638917397946,1.1765744930117483,1.231508931330722,1.1928789198168792,0.055588909697432874
2022-09-01_2022-11-30,t850,HRES,7 days,0,MAE,48,1.6634140143943796,1.6240012598807885,1.7036804778211696,1.659303875188177,0.10027714962367772
2022-09-01_2022-11-30,t850,HRES,7 days,1,MAE,42,1.732606037206668,1.6532345922957412,1.8109537407764253,1.7219099404687095,0.15379984665638033
2022-09-01_2022-11-30,t850,HRES,7 days,2,MAE,43,1.794903057838349,1.7622032099507494,1.8249263874221238,1.794364298843572,0.08307749693570132
2022-09-01_2022-11-30,t850,HRES,7 days,3,MAE,35,1.7312002675144715,1.6744780553342786,1.7892674530224297,1.6921094029366877,0.12900194204327273
2022-09-01_2022-11-30,t850,HRES,1 days,0,BIAS,48,-0.07557659833302655,-0.09972638885104063,-0.05044284708253029,-0.06517073085085058,0.04292037163807151
2022-09-01_2022-11-30,t850,HRES,1 days,1,BIAS,42,-0.05013258732562315,-0.06128706125039367,-0.04055444506301642,-0.0464799145392578,0.022546333610326902
2022-09-01_2022-11-30,t850,HRES,1 days,2,BIAS,55,-0.019126600387160905,-0.032270127223570234,-0.006854209639777449,-0.01718980741689521,0.030634149491037526
2022-09-01_2022-11-30,t850,HRES,1 days,3,BIAS,35,-0.08945154699930541,-0.10801639791856936,-0.07772336827489112,-0.08883654479832667,0.029680410889789555
2022-09-01_2022-11-30,t850,HRES,3 days,0,BIAS,48,-0.025455639183586,-0.05256554476665913,-0.000452614385925877,-0.012982085594721941,0.04843401332256459
2022-09-01_2022-11-30,t850,HRES,3 days,1,BIAS,42,0.009681051457874842,-0.005903900756305838,0.022354047896263243,0.004147395833932139,0.03343781683318201
2022-09-01_2022-11-30,t850,HRES,3 days,2,BIAS,51,0.03461501973475293,0.023492309609207077,0.052826785686288735,0.03807915929292974,0.037249371680309916
2022-09-01_2022-11-30,t850,HRES,3 days,3,BIAS,35,-0.03717859846032317,-0.06076746211121016,-0.019044293481996794,-0.032206326138340756,0.03515042009874508
2022-09-01_2022-11-30,t850,HRES,5 days,0,BIAS,48,-0.005774165814957526,-0.03288361989995085,0.021277193029924688,-0.0017525523255774787,0.05296817328913233
2022-09-01_2022-11-30,t850,HRES,5 days,1,BIAS,42,0.02001060955967416,-0.0031839335914476234,0.0396188985262093,0.012825176579860063,0.05367731367354147
2022-09-01_2022-11-30,t850,HRES,5 days,2,BIAS,47,0.05579645332480425,0.028814835529507702,0.08511202708882713,0.05898412483150625,0.05318698989683135
2022-09-01_2022-11-30,t850,HRES,5 days,3,BIAS,35,-0.04303587043403044,-0.07475949345273859,-0.017156835582054414,-0.038350980500729395,0.047908641995213636
2022-09-01_2022-11-30,t850,HRES,7 days,0,BIAS,48,-0.004355395722874976,-0.03336833145777395,0.025712836992864727,-0.0057579274782094455,0.06523475604184413
2022-09-01_2022-11-30,t850,HRES,7 days,1,BIAS,42,0.005702270763508684,-0.030492026506086196,0.0336627365322373,0.021810411044129924,0.06835196630277691
