window,variable,model,lead,regime,metric,n,mean,ci_lo,ci_hi,median,std
2022-03-01_2022-05-31,t850,HRES,7 days,3,MAE,14,1.7324796670893332,1.6324382796955665,1.8113878237492222,1.6997080229137231,0.11927663647162057
2022-03-01_2022-05-31,t850,HRES,1 days,0,BIAS,35,-0.041948791268503136,-0.04935408859705566,-0.032077066712883316,-0.0361204283956623,0.020346180517276862
2022-03-01_2022-05-31,t850,HRES,1 days,1,BIAS,91,-0.05590069370218215,-0.06473439163971996,-0.04881209095080762,-0.05488920711071325,0.02639121637241552
2022-03-01_2022-05-31,t850,HRES,1 days,2,BIAS,42,-0.03204257361621433,-0.046527785703698116,-0.01909729049306075,-0.033072791248536425,0.027973018020630173
2022-03-01_2022-05-31,t850,HRES,1 days,3,BIAS,14,-0.03603088493951762,-0.04999419272973264,-0.021424836401981284,-0.03119220746087572,0.020006071866668522
2022-03-01_2022-05-31,t850,HRES,3 days,0,BIAS,35,0.043791608237770986,0.028179071418999592,0.060643255026821136,0.04918310910681427,0.031822555978372434
2022-03-01_2022-05-31,t850,HRES,3 days,1,BIAS,91,0.008473062508878259,-0.0025412093661780406,0.018273450078465113,0.00641955364642803,0.03407517805668326
2022-03-01_2022-05-31,t850,HRES,3 days,2,BIAS,38,0.0416119199773461,0.019109936833275887,0.06808644139983451,0.03181474124716273,0.045790266057565254
2022-03-01_2022-05-31,t850,HRES,3 days,3,BIAS,14,0.02959156429769003,0.014854586934163158,0.04897394550651975,0.028974121793447,0.02552655521962809
2022-03-01_2022-05-31,t850,HRES,5 days,0,BIAS,35,0.08178573650171811,0.05839746472112053,0.10673235356553329,0.07828603498310877,0.045199674044406474
2022-03-01_2022-05-31,t850,HRES,5 days,1,BIAS,91,0.03177539653376158,0.016516925783147167,0.04403078682348138,0.03576474640570161,0.04644618481843485
2022-03-01_2022-05-31,t850,HRES,5 days,2,BIAS,34,0.053444332068935965,0.022666749016669093,0.08701443971304555,0.0392141554072087,0.058417371818986284
2022-03-01_2022-05-31,t850,HRES,5 days,3,BIAS,14,0.07312451720051258,0.05016838083650108,0.09311776887670725,0.08153342689298877,0.03900363710187943
2022-03-01_2022-05-31,t850,HRES,7 days,0,BIAS,35,0.07691147325193559,0.04127043187293845,0.11523361708802661,0.0805145612693689,0.07104863491112123
2022-03-01_2022-05-31,t850,HRES,7 days,1,BIAS,91,0.032279563618579594,0.016284682139889563,0.04387408414183968,0.03354563625106846,0.05277722407196222
2022-03-01_2022-05-31,t850,HRES,7 days,2,BIAS,30,0.0482039891642315,-0.0014262120868165995,0.0948138363564145,0.06493686441559575,0.07572258783336276
2022-03-01_2022-05-31,t850,HRES,7 days,3,BIAS,14,0.07892101015421979,0.0577855827675811,0.10153524602665868,0.09118174113503746,0.03992661269176497
2022-03-01_2022-05-31,u850,HRES,1 days,0,RMSE,35,1.3370476091626122,1.3249940732060608,1.3516516246910313,1.328470165412088,0.0364424454876122
2022-03-01_2022-05-31,u850,HRES,1 days,1,RMSE,91,1.279694200902501,1.2692584359534722,1.2889958745181536,1.2757549180840646,0.031120175107076403
2022-03-01_2022-05-31,u850,HRES,1 days,2,RMSE,42,1.2695591972043658,1.2547814520829745,1.2820007883348155,1.2725044127596303,0.028053959949793098
2022-03-01_2022-05-31,u850,HRES,1 days,3,RMSE,14,1.3239349834336263,1.3101063682666996,1.3421585395401958,1.3225152964547664,0.021915864330830422
2022-03-01_2022-05-31,u850,HRES,3 days,0,RMSE,35,2.4184518645029196,2.3797841686935497,2.4739791976053485,2.3920703899487177,0.10262954817940921
