window,n_components,n_regimes,regime,count,fraction,explained_variance_sum
2018-01-01_2018-12-31,8,6,2,250,0.17123287671232876,0.6488175988197327
2018-01-01_2018-12-31,8,6,3,318,0.21780821917808219,0.6488175988197327
2018-01-01_2018-12-31,8,6,4,181,0.12397260273972603,0.6488175988197327
2018-01-01_2018-12-31,8,6,5,203,0.13904109589041097,0.6488175988197327
2018-01-01_2018-12-31,10,3,0,460,0.3150684931506849,0.6838729977607727
2018-01-01_2018-12-31,10,3,1,616,0.42191780821917807,0.6838729977607727
2018-01-01_2018-12-31,10,3,2,384,0.26301369863013696,0.6838729977607727
2018-01-01_2018-12-31,10,4,0,372,0.2547945205479452,0.6838729977607727
2018-01-01_2018-12-31,10,4,1,461,0.31575342465753425,0.6838729977607727
2018-01-01_2018-12-31,10,4,2,392,0.2684931506849315,0.6838729977607727
2018-01-01_2018-12-31,10,4,3,235,0.16095890410958905,0.6838729977607727
2018-01-01_2018-12-31,10,5,0,277,0.18972602739726027,0.6838729977607727
2018-01-01_2018-12-31,10,5,1,235,0.16095890410958905,0.6838729977607727
2018-01-01_2018-12-31,10,5,2,373,0.2554794520547945,0.6838729977607727
2018-01-01_2018-12-31,10,5,3,392,0.2684931506849315,0.6838729977607727
2018-01-01_2018-12-31,10,5,4,183,0.12534246575342467,0.6838729977607727
2018-01-01_2018-12-31,10,6,0,177,0.12123287671232877,0.6838729977607727
2018-01-01_2018-12-31,10,6,1,229,0.15684931506849314,0.6838729977607727
2018-01-01_2018-12-31,10,6,2,203,0.13904109589041097,0.6838729977607727
2018-01-01_2018-12-31,10,6,3,276,0.18904109589041096,0.6838729977607727
2018-01-01_2018-12-31,10,6,4,246,0.1684931506849315,0.6838729977607727
2018-01-01_2018-12-31,10,6,5,329,0.22534246575342465,0.6838729977607727
2018-01-01_2018-12-31,12,3,0,460,0.3150684931506849,0.7136036157608032
2018-01-01_2018-12-31,12,3,1,614,0.42054794520547945,0.7136036157608032
2018-01-01_2018-12-31,12,3,2,386,0.26438356164383564,0.7136036157608032
2018-01-01_2018-12-31,12,4,0,292,0.2,0.7136036157608032
2018-01-01_2018-12-31,12,4,1,571,0.3910958904109589,0.7136036157608032
2018-01-01_2018-12-31,12,4,2,359,0.2458904109589041,0.7136036157608032
2018-01-01_2018-12-31,12,4,3,238,0.16301369863013698,0.7136036157608032
2018-01-01_2018-12-31,12,5,0,370,0.2534246575342466,0.7136036157608032
2018-01-01_2018-12-31,12,5,1,372,0.2547945205479452,0.7136036157608032
2018-01-01_2018-12-31,12,5,2,257,0.17602739726027397,0.7136036157608032
2018-01-01_2018-12-31,12,5,3,275,0.18835616438356165,0.7136036157608032
2018-01-01_2018-12-31,12,5,4,186,0.1273972602739726,0.7136036157608032
2018-01-01_2018-12-31,12,6,0,180,0.1232876712328767,0.7136036157608032
2018-01-01_2018-12-31,12,6,1,202,0.13835616438356163,0.7136036157608032
2018-01-01_2018-12-31,12,6,2,246,0.1684931506849315,0.7136036157608032
2018-01-01_2018-12-31,12,6,3,242,0.16575342465753426,0.7136036157608032
2018-01-01_2018-12-31,12,6,4,275,0.18835616438356165,0.7136036157608032
2018-01-01_2018-12-31,12,6,5,315,0.21575342465753425,0.7136036157608032
