window,variable,model,lead,regime,metric,n,mean,ci_lo,ci_hi,median,std
2019-12-01_2020-02-29,u850,NeuralGCM,3 days,1,ACC,22,0.944270104235459,0.93845312879581,0.9521480615731556,0.9462155737408608,0.010072108000945736
2019-12-01_2020-02-29,u850,NeuralGCM,3 days,3,ACC,60,0.9305340619294856,0.9273743976129146,0.9340140281832675,0.9315118239296973,0.008677343651595034
2019-12-01_2020-02-29,u850,NeuralGCM,5 days,0,ACC,32,0.8272689248782689,0.8185542577638193,0.8348651989471182,0.829369376099055,0.021073296177214002
2019-12-01_2020-02-29,u850,NeuralGCM,5 days,1,ACC,22,0.8614739765622704,0.8480343371805629,0.8771165439102504,0.8592612918469618,0.021863421520583605
2019-12-01_2020-02-29,u850,NeuralGCM,5 days,3,ACC,56,0.8222479478403357,0.813489562982942,0.8334249898526324,0.821993594998281,0.027912269937709698
2019-12-01_2020-02-29,u850,NeuralGCM,7 days,0,ACC,32,0.6531771780615359,0.6177999290802709,0.6811706809201385,0.6493667312624707,0.054234239863504695
2019-12-01_2020-02-29,u850,NeuralGCM,7 days,1,ACC,22,0.7153548799227271,0.6910910963407148,0.7459057737828142,0.7084662530396009,0.047815299813096304
2019-12-01_2020-02-29,u850,NeuralGCM,7 days,3,ACC,52,0.655168761273822,0.637229481150737,0.673984129766598,0.6639461858876399,0.050908989860115196
2019-12-01_2020-02-29,u850,HRES,1 days,0,MAE,32,0.9403010173313445,0.9341580614121896,0.9483223428438781,0.9423298151250048,0.018558602018387927
2019-12-01_2020-02-29,u850,HRES,1 days,1,MAE,39,0.9580100562080597,0.9457789834095094,0.9675743444225252,0.9531395877106781,0.024371490791489942
2019-12-01_2020-02-29,u850,HRES,1 days,2,MAE,45,0.9549142982687991,0.9462173228461722,0.9645562428759274,0.9515830911683049,0.019630528166177306
2019-12-01_2020-02-29,u850,HRES,1 days,3,MAE,64,0.9642219114517513,0.9556974845695211,0.9716814508549431,0.9650954243923535,0.02225060995484583
2019-12-01_2020-02-29,u850,HRES,3 days,0,MAE,32,1.628544814013638,1.6131332108169165,1.6526284746056277,1.6239989639333992,0.04286692377969803
2019-12-01_2020-02-29,u850,HRES,3 days,1,MAE,39,1.6374407443100771,1.6019341204857274,1.673223359695188,1.6330638655482685,0.06336264481728958
2019-12-01_2020-02-29,u850,HRES,3 days,2,MAE,41,1.615776884113729,1.5931001368410092,1.6479447935968117,1.6091063690843574,0.05294370011950569
2019-12-01_2020-02-29,u850,HRES,3 days,3,MAE,64,1.6373321892331392,1.617509681450763,1.6588978746080612,1.6374596844027514,0.05296438596729023
2019-12-01_2020-02-29,u850,HRES,5 days,0,MAE,32,2.454971652579304,2.405477894320365,2.5139145781876384,2.4526680362041375,0.12147490459406328
2019-12-01_2020-02-29,u850,HRES,5 days,1,MAE,39,2.5234494244416226,2.4503815433471847,2.589441577043518,2.509329012664134,0.13980736980713193
2019-12-01_2020-02-29,u850,HRES,5 days,2,MAE,37,2.4191762711552327,2.3738463971756447,2.4559242889369406,2.4308268131152957,0.09033915417597875
2019-12-01_2020-02-29,u850,HRES,5 days,3,MAE,64,2.477974972705083,2.4123653359851485,2.5364119353095007,2.48619993573997,0.1455129497892368
2019-12-01_2020-02-29,u850,HRES,7 days,0,MAE,32,3.302736722202679,3.2291850869110967,3.3441069559461014,3.315701877716439,0.19725117988885899
2019-12-01_2020-02-29,u850,HRES,7 days,1,MAE,39,3.417626779280788,3.325585603605636,3.523075940154305,3.3974772418468953,0.21322487413878852
2019-12-01_2020-02-29,u850,HRES,7 days,2,MAE,33,3.2581698216764057,3.1885631563331587,3.364943463109735,3.2374798436176624,0.16334916774705605
2019-12-01_2020-02-29,u850,HRES,7 days,3,MAE,64,3.4147566911206497,3.3261269762486987,3.5112374957385826,3.3968605260533353,0.23300065113770546
2019-12-01_2020-02-29,u850,GraphCast,1 days,0,MAE,32,0.720554994024539,0.7151415475370719,0.7261336061462086,0.7234589783621319,0.012888222036329468
2019-12-01_2020-02-29,u850,GraphCast,1 days,1,MAE,39,0.7334412679153541,0.7258651168001954,0.739660457109722,0.7315727510909694,0.01578313237344315
2019-12-01_2020-02-29,u850,GraphCast,1 days,2,MAE,45,0.7160295568062637,0.7098742642370853,0.7242585254267957,0.7139794875413369,0.015246204451906959
2019-12-01_2020-02-29,u850,GraphCast,1 days,3,MAE,64,0.7352280942445584,0.7273371160700576,0.7437546997073349,0.7329196725918756,0.019490732408662885
2019-12-01_2020-02-29,u850,GraphCast,3 days,0,MAE,32,1.33421221228632,1.3187423759371397,1.355891689504665,1.3247238617008936,0.04038254691491067
2019-12-01_2020-02-29,u850,GraphCast,3 days,1,MAE,39,1.336797567709557,1.3188584337779368,1.3536436099051308,1.330338061329368,0.04333186127867228
2019-12-01_2020-02-29,u850,GraphCast,3 days,2,MAE,41,1.2904094013923602,1.270225653353725,1.3138509104082603,1.2952706382026957,0.045371865650230575
2019-12-01_2020-02-29,u850,GraphCast,3 days,3,MAE,64,1.345804271173924,1.3255937348900326,1.3678254593031247,1.3348751902473888,0.05016864048155247
2019-12-01_2020-02-29,u850,GraphCast,5 days,0,MAE,32,2.0790389041559374,2.040492865606771,2.1256788079127076,2.06969925001993,0.09902529546520857
2019-12-01_2020-02-29,u850,GraphCast,5 days,1,MAE,39,2.0586149915607552,2.007607373267749,2.1055585160529806,2.0486630530720964,0.10197736638637193
2019-12-01_2020-02-29,u850,GraphCast,5 days,2,MAE,37,1.9447356533140872,1.8938389710387191,2.0004707188733275,1.9264275799962793,0.10217622944870196
2019-12-01_2020-02-29,u850,GraphCast,5 days,3,MAE,64,2.079783438800417,2.017895652453096,2.14192034172258,2.066260640128711,0.13762107036354604
2019-12-01_2020-02-29,u850,GraphCast,7 days,0,MAE,32,2.897869918066628,2.843443518143858,2.936712558119069,2.901352270624155,0.1343317280447607
2019-12-01_2020-02-29,u850,GraphCast,7 days,1,MAE,39,2.8917332540840555,2.806036056172026,2.994550497020981,2.8688032286941576,0.20279562274654506
2019-12-01_2020-02-29,u850,GraphCast,7 days,2,MAE,33,2.713980010010202,2.6373301858574183,2.817048298335612,2.719999492888161,0.15504632297372756
2019-12-01_2020-02-29,u850,GraphCast,7 days,3,MAE,64,2.8632587951806183,2.7840684787897114,2.9590104087595988,2.840814871779682,0.21394814105606133
2019-12-01_2020-02-29,u850,NeuralGCM,1 days,0,MAE,32,0.7625137157286832,0.7572339885559907,0.7679367715885264,0.762451454108234,0.01319120058863857
2019-12-01_2020-02-29,u850,NeuralGCM,1 days,1,MAE,22,0.7654460935162902,0.7604843699968736,0.767898913716571,0.7665821508558149,0.011955866929097086
2019-12-01_2020-02-29,u850,NeuralGCM,1 days,3,MAE,64,0.7765073424723689,0.7690915753023839,0.7846114723649295,0.7748473164479597,0.01925527116446894
2019-12-01_2020-02-29,u850,NeuralGCM,3 days,0,MAE,32,1.3659961249648853,1.3506158626546028,1.3823739416445675,1.361476230186019,0.038059717169499636
2019-12-01_2020-02-29,u850,NeuralGCM,3 days,1,MAE,22,1.3554256352594523,1.328523130304362,1.3736181726914658,1.3581352425994822,0.04169209347445242
2019-12-01_2020-02-29,u850,NeuralGCM,3 days,3,MAE,60,1.371387975555752,1.346281587698372,1.3902915392072495,1.3658982377863023,0.051161383459974966
2019-12-01_2020-02-29,u850,NeuralGCM,5 days,0,MAE,32,2.1096720986648725,2.059768761211921,2.153242345489272,2.097829404969208,0.10825823211309271
2019-12-01_2020-02-29,u850,NeuralGCM,5 days,1,MAE,22,2.072027506001866,2.03448188487484,2.110640260330456,2.0720892386751686,0.07690111991090208
2019-12-01_2020-02-29,u850,NeuralGCM,5 days,3,MAE,56,2.116170536716138,2.0510466988066653,2.1639700067211027,2.0770224916441142,0.14930146895775612
2019-12-01_2020-02-29,u850,NeuralGCM,7 days,0,MAE,32,2.9721923205189134,2.900338580663477,3.0448075029831094,2.9831656731550362,0.154642344788395
2019-12-01_2020-02-29,u850,NeuralGCM,7 days,1,MAE,22,2.9452793916256197,2.877968025290144,3.026862238599501,2.9401980324164394,0.15593349029565118
2019-12-01_2020-02-29,u850,NeuralGCM,7 days,3,MAE,52,2.951140193389109,2.8728543580432992,3.01205580104186,2.943327992628503,0.193081324756663
2019-12-01_2020-02-29,u850,HRES,1 days,0,BIAS,32,-0.004272868071427609,-0.021395725003619588,0.008532266206878926,-0.009851178259037682,0.04460466141115433
2019-12-01_2020-02-29,u850,HRES,1 days,1,BIAS,39,0.0024320836319918224,-0.02018964995837292,0.018329754682608574,0.004971556340917276,0.060924471855646964
2019-12-01_2020-02-29,u850,HRES,1 days,2,BIAS,45,0.0024257266210803625,-0.013295536112293673,0.019371693382186556,0.003556771881535843,0.04942021681751678
2019-12-01_2020-02-29,u850,HRES,1 days,3,BIAS,64,-0.0010714434205053808,-0.011829514600609244,0.0075243231836002,0.004999185255049157,0.04455004265800636
2019-12-01_2020-02-29,u850,HRES,3 days,0,BIAS,32,0.006858918485182337,-0.02373415677092538,0.0275375325514853,0.010747768384345626,0.05887277446015603
2019-12-01_2020-02-29,u850,HRES,3 days,1,BIAS,39,-0.0021644089827567293,-0.02785430296076444,0.018737339886976286,0.007889766314909705,0.056363796041487196
2019-12-01_2020-02-29,u850,HRES,3 days,2,BIAS,41,0.005242749696045849,-0.025336056085638207,0.03305005326536408,0.0007830732142388097,0.0649855238524314
